mol_name,ncbi_name,gbif_name,genus,family,order,class,match_ncbi,match_type
Clemmys muhlenbergii,Glyptemys muhlenbergii,Glyptemys muhlenbergii,Glyptemys,Emydidae,Testudines,Testudines,1,direct MOL match
Graptemys geographica,Graptemys geographica,Graptemys geographica,Graptemys,Emydidae,Testudines,Testudines,1,direct MOL match
Sternotherus odoratus,Sternotherus odoratus,Sternotherus odoratus,Sternotherus,Kinosternidae,Testudines,Testudines,1,direct MOL match
Chelydra serpentina,Chelydra serpentina,Chelydra serpentina,Chelydra,Chelydridae,Testudines,Testudines,1,direct MOL match
Malaclemys terrapin,Malaclemys terrapin,Malaclemys terrapin,Malaclemys,Emydidae,Testudines,Testudines,1,direct MOL match
Terrapene carolina,Terrapene carolina,Terrapene carolina,Terrapene,Emydidae,Testudines,Testudines,1,direct MOL match
Kinosternon subrubrum,Kinosternon subrubrum,Kinosternon subrubrum,Kinosternon,Kinosternidae,Testudines,Testudines,1,direct MOL match
Chrysemys picta,Chrysemys picta,Chrysemys picta,Chrysemys,Emydidae,Testudines,Testudines,1,direct MOL match
Apalone spinifera,Apalone spinifera,Apalone spinifera,Apalone,Trionychidae,Testudines,Testudines,1,direct MOL match
Pseudemys rubriventris,Pseudemys rubriventris,Pseudemys rubriventris,Pseudemys,Emydidae,Testudines,Testudines,1,direct MOL match
Trachemys scripta,Trachemys scripta,Trachemys scripta,Trachemys,Emydidae,Testudines,Testudines,1,direct MOL match
Clemmys guttata,Clemmys guttata,Clemmys guttata,Clemmys,Emydidae,Testudines,Testudines,1,direct MOL match
Clemmys insculpta,Glyptemys insculpta,Glyptemys insculpta,Glyptemys,Emydidae,Testudines,Testudines,1,direct MOL match
Eumeces fasciatus,Plestiodon fasciatus,Plestiodon fasciatus,Plestiodon,Scincidae,Squamata,Lepidosauria,1,direct MOL match
Scincella lateralis,Scincella lateralis,Scincella lateralis,Scincella,Scincidae,Squamata,Lepidosauria,1,direct MOL match
Sceloporus undulatus,Sceloporus undulatus,Sceloporus undulatus,Sceloporus,Phrynosomatidae,Squamata,Lepidosauria,1,direct MOL match
